2019/07/17 21:30:29.508 [D]  Init All Success!!
2019/07/17 21:48:09.118 [D]  Partition:0, Offset:19849, Key:, Value:2019/07/17 21:26:10.046 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::e1f8:4b87:8b7c:8f69
2019/07/17 21:48:09.207 [D]  Partition:0, Offset:19850, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/192.168.162.1
2019/07/17 21:48:09.310 [D]  Partition:0, Offset:19851, Key:, Value:2019/07/17 21:26:10.045 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/192.168.150.1
2019/07/17 21:48:09.400 [D]  Partition:0, Offset:19852, Key:, Value:2019/07/17 21:26:10.104 [I]  init kafka producer success 
2019/07/17 21:48:09.493 [D]  Partition:0, Offset:19853, Key:, Value:2019/07/17 21:26:10.104 [D]  Init All Success!!
2019/07/17 21:48:09.583 [D]  Partition:0, Offset:19854, Key:, Value:2019/07/17 21:30:51.962 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:09.791 [D]  Partition:0, Offset:19855, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:09.893 [D]  Partition:0, Offset:19856, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:09.983 [D]  Partition:0, Offset:19857, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:10.084 [D]  Partition:0, Offset:19858, Key:, Value:2019/07/17 21:30:51.963 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:10.175 [D]  Partition:0, Offset:19859, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/192.168.162.1" create_revision:35 mod_revision:36 version:2 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:48:10.276 [D]  Partition:0, Offset:19860, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:48:10.366 [D]  Partition:0, Offset:19861, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:10.468 [D]  Partition:0, Offset:19862, Key:, Value:2019/07/17 21:30:51.964 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:10.558 [D]  Partition:0, Offset:19863, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.getConfig : success ,resp from etcd :[]
2019/07/17 21:48:10.660 [D]  Partition:0, Offset:19864, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.getConfig : success ,resp from etcd :[key:"/logagent/conf/10.254.124.191" create_revision:25 mod_revision:48 version:18 value:"[{\"logpath\":\"D:/goprojects/src/logagent/logs/logagent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"D:/project/nginx/logs/error.log\",\"topic\":\"nginx_log_err\"}]" ]
2019/07/17 21:48:10.750 [D]  Partition:0, Offset:19865, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.getConfig log Config is : [[{D:/goprojects/src/logagent/logs/logagent.log nginx_log} {D:/project/nginx/logs/error.log nginx_log_err}]]
2019/07/17 21:48:10.851 [D]  Partition:0, Offset:19866, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::f0c7:89d7:3d41:4d5c:
2019/07/17 21:48:10.942 [D]  Partition:0, Offset:19867, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/169.254.77.92:
2019/07/17 21:48:11.035 [D]  Partition:0, Offset:19868, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::4493:9f90:85a7:cd56:
2019/07/17 21:48:11.125 [D]  Partition:0, Offset:19869, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/169.254.205.86:
2019/07/17 21:48:11.218 [D]  Partition:0, Offset:19870, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::e1f8:4b87:8b7c:8f69:
2019/07/17 21:48:11.350 [D]  Partition:0, Offset:19871, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/192.168.162.1:
2019/07/17 21:48:11.468 [D]  Partition:0, Offset:19872, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::a10a:9c4e:44c8:d72e:
2019/07/17 21:48:11.584 [D]  Partition:0, Offset:19873, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/192.168.150.1:
2019/07/17 21:48:11.751 [D]  Partition:0, Offset:19874, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/fe80::8960:a07c:473b:a0d8:
2019/07/17 21:48:11.862 [D]  Partition:0, Offset:19875, Key:, Value:2019/07/17 21:30:51.965 [D]  etcd.initEtcdWatcher : key = /logagent/conf/10.254.124.191:
2019/07/17 21:48:11.969 [D]  Partition:0, Offset:19876, Key:, Value:2019/07/17 21:30:51.965 [D]  Init etcd Success!!
2019/07/17 21:48:12.059 [D]  Partition:0, Offset:19877, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/169.254.205.86
2019/07/17 21:48:12.152 [D]  Partition:0, Offset:19878, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::f0c7:89d7:3d41:4d5c
2019/07/17 21:48:12.258 [D]  Partition:0, Offset:19879, Key:, Value:2019/07/17 21:30:51.967 [D]  etcd.watchKey : begin watchKey = :/logagent/conf/fe80::4493:9f90:85a7:cd56
